id,station_name,lat,lon,station_link,download_link,measuring_point_height
IE_SW_G_0004_0500_0029,DR1 Shallow Upper Site,51.98237554594775,-8.759034394695385,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0029,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0029/GWL/complete_daymean.zip,193.062
IE_SW_G_0004_0500_0030,DR1 Intermediate Upper Site,51.98237554594775,-8.759034394695385,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0030,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0030/GWL/complete_daymean.zip,193.062
IE_SW_G_0004_0500_0031,DR1 Deep Upper Site,51.98237554594775,-8.759034394695385,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0031,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0031/GWL/complete_daymean.zip,193.0
IE_SW_G_0004_0500_0032,DR2 Shallow,51.9831889964069,-8.758320385815864,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0032,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0032/GWL/complete_daymean.zip,188.107
IE_SW_G_0004_0500_0033,DR2 Transition,51.9831889964069,-8.758320385815864,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0033,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0033/GWL/complete_daymean.zip,188.916
IE_SW_G_0004_0500_0034,DR2 Deep,51.9831889964069,-8.758320385815864,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0034,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0034/GWL/complete_daymean.zip,188.111
IE_SW_G_0004_0500_0035,DR3 Shallow Lower Site,51.984083876742055,-8.758917704112246,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0035,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0035/GWL/complete_daymean.zip,179.342
IE_SW_G_0004_0500_0036,DR3 Transition Lower Site,51.984083876742055,-8.758917704112246,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0036,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0036/GWL/complete_daymean.zip,179.44
IE_SW_G_0004_0500_0037,DR3 Deep Lower Site,51.984083876742055,-8.758917704112246,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0037,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0037/GWL/complete_daymean.zip,179.3
IE_SW_G_0004_0500_0038,DR3 Subsoil Lower Site,51.984083876742055,-8.758917704112246,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0004_0500_0038,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0004_0500_0038/GWL/complete_daymean.zip,179.3
IE_SW_G_0048_1300_0007,FBH9 - FLESK,52.05305376812681,-9.473421635632572,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0048_1300_0007,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0048_1300_0007/GWL/complete_daymean.zip,35.871
IE_SW_G_0070_0500_0025,TAUR GROUP SCHEME,52.231623192682676,-9.119436789159614,https://epawebapp.epa.ie/Hydronet/#IE_SW_G_0070_0500_0025,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_SW_G_0070_0500_0025/GWL/complete_daymean.zip,274.125
IE_WE_G_0002_1200_0013,KILLINY,53.09687017002279,-8.912847722420777,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0002_1200_0013,https://epawebapp.epa.ie/Hydronet/output/internet/stations/COR/IE_WE_G_0002_1200_0013/GWL/complete_daymean.zip,22.529
IE_WE_G_0006_1200_0025,NV2 Shallow,53.4404562444168,-9.354922259279844,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0025,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0025/GWL/complete_daymean.zip,72.891
IE_WE_G_0006_1200_0026,NV2 Transition,53.44041355040543,-9.354725262561722,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0026,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0026/GWL/complete_daymean.zip,72.791
IE_WE_G_0006_1200_0027,NV2 Deep,53.440412526910336,-9.354815524761023,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0027,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0027/GWL/complete_daymean.zip,72.951
IE_WE_G_0006_1200_0028,NV3 Shallow,53.438244662468,-9.349464603259044,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0028,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0028/GWL/complete_daymean.zip,53.636
IE_WE_G_0006_1200_0029,NV3 Transition,53.43846854174351,-9.34953188928455,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0029,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0029/GWL/complete_daymean.zip,54.061
IE_WE_G_0006_1200_0030,NV3 Deep,53.438325843502184,-9.349437078239879,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0006_1200_0030,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0006_1200_0030/GWL/complete_daymean.zip,53.374
IE_WE_G_0008_1200_0001,Athenry,53.291898189042584,-8.740839011828436,https://epawebapp.epa.ie/Hydronet/#IE_WE_G_0008_1200_0001,https://epawebapp.epa.ie/Hydronet/output/internet/stations/CAS/IE_WE_G_0008_1200_0001/GWL/complete_daymean.zip,29.362
